file_name,transcription
drug-female-ca56662a-065c-4318-b1c6-41095684a20a.mp3,Meglumine diatrizoate is commonly used as a contrast medium in medical imaging procedures.
drug-male-4e02e7a8-ee16-4943-9b7f-4e09d32b558a.mp3,ZOTACAL is a prescription medication used to treat osteoporosis by increasing bone density.
drug-male-133fccfc-22ea-4b3b-a89c-9b5df813bff8.mp3,The extract from pongamia pinnata seeds is gaining popularity for its potential therapeutic properties.
drug-female-d0565c6e-c35b-43a0-b55b-624802e078c1.mp3,The use of aminoacridine may offer a new avenue for the treatment of certain types of leukemia.
drug-brand-en-us-female-9c816919-b532-4ffb-8be7-08c4a0a671fc.mp3,Bolofen is commonly used as a muscle relaxant medication.
drug-female-e6f04804-47a3-4ba4-9ccd-049c2f569312.mp3,Taking OLRITE-DSR as directed by your healthcare provider can help relieve symptoms of heartburn and indigestion.
drug-female-e3762215-e361-4bdd-ac92-54d8bb94bd27.mp3,LUBINA is a commonly prescribed medication for managing chronic pain.
drug-brand-en-us-male-4f7fa9d7-ac5b-4905-963f-73b317e05bfe.mp3,Have you discussed with your doctor about the benefits of taking heamferon for your condition?
drug-male-872b332d-d350-4607-8f7f-f09e942c16f0.mp3,Unlock your mental potential by incorporating COGNIONE into your daily routine.
drug-male-39427c88-7e34-407a-8177-7fa793fd6e87.mp3,"In some cases, entacapone may be prescribed to help improve motor symptoms in patients with Parkinson's."
drug-female-88441640-a0b2-4d3e-93fa-6eaf3f440a46.mp3,Patients can conveniently receive both Kisqali and Femara in a single co-packaged prescription.
drug-female-7855d896-4f77-48c4-a85b-5f5851bab560.mp3,Make sure to follow the prescribed dosage of CEFDIWIN for optimal effectiveness.
drug-brand-en-us-male-5294801f-c293-453a-9d06-f3c8dcdfa48a.mp3,Nuro-M is known for its effectiveness in managing neuropathic pain.
drug-female-72b9f07c-f19f-4252-8998-397f686cb020.mp3,The essential oil derived from eugenia caryophyllata has antimicrobial properties that can help fight against infections.
drug-female-009686eb-25a0-426d-8020-ceca58e8c848.mp3,Remember to take one AUGMENTIN DUO TAB with food to reduce stomach upset.
drug-male-968c558b-196d-4d87-83e2-d8bd2825c76b.mp3,"When prescribed by a healthcare provider, isoetharine can help to alleviate symptoms of respiratory distress."
drug-male-d7571574-f3bb-41a6-ba69-5381311beb35.mp3,"Chlordiazepoxide can interact with estrogens, esterified, so it's important to consult with a healthcare provider before taking them together."
drug-brand-en-us-female-f505551c-9cc8-4394-9505-074fa39e2962.mp3,Allegone-CC is known for its effective pain-relieving properties.
drug-male-0b06000a-9292-4523-bd04-ab29854eb258.mp3,S-Metoprolol tartrate is commonly prescribed to treat high blood pressure and chest pain.
drug-male-ba6054a9-f347-4f1a-8649-c2c6c00b9e72.mp3,Incorporating MOVINAC into your daily routine can help improve your mobility and overall quality of life.
drug-male-c7e13705-7091-4fc4-ae9f-68357150aefe.mp3,Switching to LANTUS OPTISETS can simplify your insulin routine and improve adherence to your medication regimen.
drug-female-2398955d-0fc3-43bd-accc-08218f870a68.mp3,Make sure to follow the recommended dosage guidelines when using the medication tcv powd for inj:amoxicillin to ensure its effectiveness.
drug-brand-en-us-female-43ff368e-c511-478d-9be9-a32b54cd05b3.mp3,"If you experience any side effects from Neorof, contact your healthcare provider immediately."
drug-female-c5456dda-2f14-4f16-b3e1-dac0b689ff00.mp3,STUNNER-GOLD is a popular medication known for its effective pain relief properties.
